feat_1,feat_2,feat_3,target
-0.2559,6.0229,0.3019,1
0.5447,4.5405,0.0149,1
1.0369,5.4978,-0.8603,1
0.5673,5.4774,-0.5535,1
-1.6914,1.5122,0.1542,0
1.6535,8.7868,-0.4208,1
0.3087,5.7883,-0.383,1
-0.5777,2.5124,-0.2552,0
-0.344,4.7872,-0.8808,1
1.453,3.4398,0.1711,1
-0.8079,5.4895,0.5888,0
-0.71,2.821,0.7503,0
-0.1061,3.3655,0.9603,0
0.7031,5.0515,-0.0221,1
1.4406,5.7245,0.5291,1
-0.9041,3.7977,0.1887,0
-0.9676,3.9378,0.6799,0
-0.3862,4.6366,0.403,0
-1.8999,-0.0365,0.6438,0
0.9641,4.791,-0.0766,1
0.2458,5.8687,-0.8821,1
-0.5229,5.0298,0.7428,0
0.9551,6.0592,0.0989,1
-1.2373,6.0607,-0.1694,0
-1.3112,8.2202,0.9155,0
0.5058,5.1649,-0.0301,1
-0.6615,4.1705,-0.9918,0
0.4681,0.4761,0.381,0
-1.38,4.7305,0.3524,0
0.7134,5.7628,0.5957,0
-0.787,6.263,-0.7929,1
-0.2679,6.248,-0.6754,1
-0.1762,5.5549,-0.9995,1
0.3764,4.7024,0.7487,0
-0.4276,4.2549,-0.4955,0
0.779,7.7866,0.9862,1
-1.1239,5.4878,-0.8282,1
0.5485,4.6521,-0.6771,1
2.4301,5.7103,0.0565,1
0.9968,7.4158,0.957,1
1.0086,2.6629,-0.4778,1
0.4492,5.3389,0.5581,0
-0.3409,6.2466,0.623,1
-0.1851,6.2748,0.4797,0
0.1759,7.3893,-0.2889,1
0.0431,4.7153,0.385,0
1.0485,4.4124,0.874,1
-0.187,4.069,-0.5463,1
0.2222,6.2773,0.2481,1
-1.1231,2.1144,0.5993,0
